
    Variable |            N         Mean           SD          Min          Max
-------------+-----------------------------------------------------------------
    ln_Score |    44472.000        0.725        0.472        0.000        5.204
ln_pure_st~n |    44472.000        5.850        0.774        0.693        8.690
pure_body_~x |    44472.000        6.107        3.683        0.000       21.400
full_code_~o |    44472.000        0.421        0.232        0.000        1.000
          tt |    44472.000        0.209        0.406        0.000        1.000
ln_TotalCo~t |    44472.000        2.031        1.573        0.000        7.600
ln_AnswerC~t |    44472.000        1.311        1.281        0.000        6.727
ln_Questio~t |    44472.000        1.596        1.364        0.000        7.047
ln_ViewerC~t |    44472.000        0.775        1.010        0.000        5.361
ln_Q_Tags_~r |    44472.000        1.000        0.391        0.693        3.219
std_Q_Tags~r |    44472.000       -0.000        1.000       -0.629       14.252
median_Q_T~r |    44472.000        0.346        0.476        0.000        1.000
ln_Q_ViewC~t |    44472.000        6.714        2.046        2.485       15.300
ln_Q_Answe~t |    44472.000        1.100        0.434        0.693        4.443
  ln_Q_Score |    44472.000        1.061        1.224        0.000        8.959
ln_Q_body_~n |    44472.000        7.044        0.549        3.970        8.976
  ln_Up_vote |    44472.000        0.854        0.538        0.000        5.209
ln_Down_vote |    44472.000        0.030        0.089        0.000        1.609
-------------------------------------------------------------------------------
