
    Variable |            N         Mean           SD          Min          Max
-------------+-----------------------------------------------------------------
    ln_Score |    24432.000        0.787        0.373        0.000        3.481
ln_pure_st~n |    24432.000        5.995        0.718        0.693        8.225
pure_body_~x |    24432.000        6.550        3.379        0.000       18.028
full_code_~o |    24432.000        0.426        0.225        0.000        0.995
          tt |    24432.000        0.222        0.415        0.000        1.000
ln_TotalCo~t |    24432.000        2.644        1.257        0.000        7.023
ln_AnswerC~t |    24432.000        1.745        1.137        0.000        6.261
ln_Questio~t |    24432.000        2.091        1.129        0.000        6.328
ln_ViewerC~t |    24432.000        0.977        0.968        0.000        4.419
ln_Q_Tags_~r |    24432.000        0.982        0.503        0.000        3.135
std_Q_Tags~r |    24432.000       -0.000        1.000       -1.167       11.411
median_Q_T~r |    24432.000        0.534        0.499        0.000        1.000
ln_Q_ViewC~t |    24432.000        5.936        1.294        2.485       14.726
ln_Q_Answe~t |    24432.000        0.962        0.220        0.693        3.714
  ln_Q_Score |    24432.000        0.657        0.656        0.000        8.028
ln_Q_body_~n |    24432.000        7.108        0.446        4.443        8.981
  ln_Up_vote |    24432.000        1.061        0.518        0.000        3.909
ln_Down_vote |    24432.000        0.035        0.080        0.000        1.099
-------------------------------------------------------------------------------
